Bottle_NR,Bottle_Volume(L),Temp,origin,Treatment1,Sample Type,DOCuM (T0),DOCuM (Tend),?DOC(uM),?DOC(umols),?DOC(ug),Cell Concentration (T0),Cell Concentration (T24),?Cell Concentration,?Cell Count,?Cell C (fg),?Cell C (ug),BGE,Cell Concentration (Tend),?Cell Concentration (Tend),?Cell Count (Tend),?Cell C (fg) (Tend),?Cell C (ug) (Tend),BGE (Tend)
3,1.2,Hot,Partially Bleached,Bleaching-Dying,DOC,106,96.6,9.4,11.28,135.480696,174.857143,"2,116.62","1,941.76",2330115428,46602308568,46.60230857,0.343977481,"1,678.30","1,503.44",1804131428,36082628568,36.08262857,0.266330405
5,1.2,Hot,Healthy,Bleaching,DOC,191.4,148.4,43,51.6,619.75212,332.55102,"3,950.33","3,617.78",4341334776,86826695520,86.82669552,0.14009907,"3,415.04","3,082.49",3698986776,73979735520,73.97973552,0.119369879
6,1.25,Hot,Healthy,Bleaching,DOC,120.2,95.7,24.5,30.625,367.8276875,159.959184,"2,369.80","2,209.84",2762301020,55246020400,55.2460204,0.150195383,"1,683.52","1,523.56",1904451020,38089020400,38.0890204,0.10355126
8,1.01,Hot,control,Hot Water Control,DOC,106.7,81.7,25,25.25,303.270175,119.714286,733.22449,613.51,619645306,12392906121,12.39290612,0.040864243,727.32,607.61,613681771.1,12273635423,12.27363542,0.040470961
9,1.35,Hot,control,Hot Water Control,DOC,96.4,83.9,12.5,16.875,202.6805625,134.714286,611.88,477.17,644173713.9,12883474278,12.88347428,0.063565416,650.62,515.91,696472713.9,13929454278,13.92945428,0.068726148
10,1.22,Ambient,Bleached,Bleaching-Recovering,DOC,104.1,91.2,12.9,15.738,189.0243966,118.98,"1,276.04","1,157.06",1411613200,28232264000,28.232264,0.149357779,"1,334.32","1,215.34",1482714800,29654296000,29.654296,0.156880786
11,1.2,Ambient,Bleached,Bleaching-Recovering,DOC,114.1,93.1,21,25.2,302.66964,140.938776,"1,508.14","1,367.20",1640641469,32812829376,32.81282938,0.108411367,"1,764.80","1,623.86",1948633469,38972669376,38.97266938,0.128763061
13,1.2,Ambient,Healthy,Healthy,DOC,109.5,95.5,14,16.8,201.77976,148.72,"1,827.12","1,678.40",2014080000,40281600000,40.2816,0.199631519,"1,699.76","1,551.04",1861248000,37224960000,37.22496,0.184483122
14,1.25,Ambient,Healthy,Healthy,DOC,109.2,95.1,14.1,17.625,211.6885875,145.061224,"1,367.45","1,222.39",1527985970,30559719400,30.5597194,0.144361677,"1,087.14",942.08,1177598470,23551969400,23.5519694,0.111257625
16,1.4,Ambient,control,Water Control,DOC,93.4,83.3,10.1,14.14,169.831298,131.183673,922.16,790.98,1107366858,22147337156,22.14733716,0.130407866,787.78,656.6,919234857.8,18384697156,18.38469716,0.108252704
17,1.4,Ambient,control,Water Control,DOC,95,83.4,11.6,16.24,195.053768,129.938776,894.52,764.58,1070413714,21408274272,21.40827427,0.109755759,830.12,700.18,980253713.6,19605074272,19.60507427,0.100511128
