Sample_NR,Temp,origin,Treatment,Coral Health,Sample Type,Timepoint,Bottle_NR,DOC (uM),Background DOC,DOC_control_corrected (uM),Stdev,Notes
ABC_037,Hot,Partially Bleached,Bleaching-Dying,4,DOC,T0,1,225.7,100.0333333,125.6666667,2,questionable because of T0 having upsidedown septa
ABC_091,Hot,Partially Bleached,Bleaching-Dying,4,DOC,Tend,1,101.3,100.0333333,1.266666667,0.2,
ABC_038,Hot,Partially Bleached,Bleaching-Dying,4,DOC,T0,2,89.2,100.0333333,-10.83333333,1.5,tf>t0
ABC_092,Hot,Partially Bleached,Bleaching-Dying,4,DOC,Tend,2,97.8,100.0333333,-2.233333333,1,tf>t0
ABC_039,Hot,Partially Bleached,Bleaching-Dying,4,DOC,T0,3,106,100.0333333,5.966666667,2.4,
ABC_093,Hot,Partially Bleached,Bleaching-Dying,4,DOC,Tend,3,96.6,100.0333333,-3.433333333,1.3,
ABC_093,Hot,Partially Bleached,Bleaching-Dying,4,DOC,Drawdown,3,9.4,100.0333333,-90.63333333,,
ABC_093,Hot,Partially Bleached,Bleaching-Dying,4,DOC,% Drawdown,3,0.088679245,100.0333333,-99.94465409,,
ABC_041,Hot,Healthy,Bleaching,3,DOC,T0,5,191.4,100.0333333,91.36666667,0.9,
ABC_095,Hot,Healthy,Bleaching,3,DOC,Tend,5,148.4,100.0333333,48.36666667,2.1,
ABC_095,Hot,Healthy,Bleaching,3,DOC,Drawdown,5,43,100.0333333,-57.03333333,,
ABC_095,Hot,Healthy,Bleaching,3,DOC,% Drawdown,5,0.224660397,100.0333333,-99.80867294,,
ABC_042,Hot,Healthy,Bleaching,3,DOC,T0,6,120.2,100.0333333,20.16666667,0.9,
ABC_096,Hot,Healthy,Bleaching,3,DOC,Tend,6,95.7,100.0333333,-4.333333333,1.6,
ABC_096,Hot,Healthy,Bleaching,3,DOC,Drawdown,6,24.6,100.0333333,-75.43333333,,
ABC_096,Hot,Healthy,Bleaching,3,DOC,% Drawdown,6,0.204658902,100.0333333,-99.82867443,,
ABC_043,Hot,control,Hot Water Control,Hot Water Control,DOC,T0,7,97,100.0333333,-3.033333333,1,
ABC_097,Hot,control,Hot Water Control,Hot Water Control,DOC,Tend,7,185.8,100.0333333,85.76666667,0.7,questionable because of TF having upsidedown septa
ABC_044,Hot,control,Hot Water Control,Hot Water Control,DOC,T0,8,106.7,100.0333333,6.666666667,1.1,
ABC_098,Hot,control,Hot Water Control,Hot Water Control,DOC,Tend,8,81.7,100.0333333,-18.33333333,0.9,
ABC_098,Hot,control,Hot Water Control,Hot Water Control,DOC,Drawdown,8,25,100.0333333,-75.03333333,,
ABC_098,Hot,control,Hot Water Control,Hot Water Control,DOC,% Drawdown,8,0.234301781,100.0333333,-99.79903155,,
ABC_045,Hot,control,Hot Water Control,Hot Water Control,DOC,T0,9,96.4,100.0333333,-3.633333333,1.7,
ABC_099,Hot,control,Hot Water Control,Hot Water Control,DOC,Tend,9,83.9,100.0333333,-16.13333333,1.2,
ABC_099,Hot,control,Hot Water Control,Hot Water Control,DOC,Drawdown,9,12.5,100.0333333,-87.53333333,,
ABC_099,Hot,control,Hot Water Control,Hot Water Control,DOC,% Drawdown,9,0.12966805,100.0333333,-99.90366528,,
ABC_046,Ambient,Bleached,Bleaching-Recovering,2,DOC,T0,10,104.1,88.4,15.7,0.2,
ABC_100,Ambient,Bleached,Bleaching-Recovering,2,DOC,Tend,10,91.2,88.4,2.8,1.2,
ABC_100,Ambient,Bleached,Bleaching-Recovering,2,DOC,Drawdown,10,12.9,88.4,-75.5,,
ABC_100,Ambient,Bleached,Bleaching-Recovering,2,DOC,% Drawdown,10,0.123919308,88.4,-88.27608069,,
ABC_047,Ambient,Bleached,Bleaching-Recovering,2,DOC,T0,11,114.1,88.4,25.7,1.4,
ABC_101,Ambient,Bleached,Bleaching-Recovering,2,DOC,Tend,11,93.1,88.4,4.7,1,
ABC_101,Ambient,Bleached,Bleaching-Recovering,2,DOC,Drawdown,11,21,88.4,-67.4,,
ABC_101,Ambient,Bleached,Bleaching-Recovering,2,DOC,% Drawdown,11,0.18404908,88.4,-88.21595092,,
ABC_048,Ambient,Bleached,Bleaching-Recovering,2,DOC,T0,12,206.1,88.4,117.7,2.4,questionable because of T0 having upsidedown septa
ABC_102,Ambient,Bleached,Bleaching-Recovering,2,DOC,Tend,12,112.3,88.4,23.9,2,
ABC_049,Ambient,Healthy,Healthy,1,DOC,T0,13,109.5,88.4,21.1,0.4,
ABC_103,Ambient,Healthy,Healthy,1,DOC,Tend,13,95.5,88.4,7.1,1.8,
ABC_103,Ambient,Healthy,Healthy,1,DOC,Drawdown,13,13.9,88.4,-74.5,,
ABC_103,Ambient,Healthy,Healthy,1,DOC,% Drawdown,13,0.126940639,88.4,-88.27305936,,
ABC_050,Ambient,Healthy,Healthy,1,DOC,T0,14,109.2,88.4,20.8,2,
ABC_104,Ambient,Healthy,Healthy,1,DOC,Tend,14,95.1,88.4,6.7,1.2,
ABC_104,Ambient,Healthy,Healthy,1,DOC,Drawdown,14,14.1,88.4,-74.3,,
ABC_104,Ambient,Healthy,Healthy,1,DOC,% Drawdown,14,0.129120879,88.4,-88.27087912,,
ABC_051,Ambient,Healthy,Healthy,1,DOC,T0,15,180.9,88.4,92.5,3.6,questionable because of T0 having upsidedown septa
ABC_105,Ambient,Healthy,Healthy,1,DOC,Tend,15,91.6,88.4,3.2,0.8,
ABC_052,Ambient,control,Water Control,Water Control,DOC,T0,16,93.4,88.4,5,1.2,
ABC_106,Ambient,control,Water Control,Water Control,DOC,Tend,16,83.3,88.4,-5.1,1.3,
ABC_106,Ambient,control,Water Control,Water Control,DOC,Drawdown,16,10.1,88.4,-78.3,,
ABC_106,Ambient,control,Water Control,Water Control,DOC,% Drawdown,16,0.108137045,88.4,-88.29186296,,
ABC_053,Ambient,control,Water Control,Water Control,DOC,T0,17,95,88.4,6.6,1.8,
ABC_107,Ambient,control,Water Control,Water Control,DOC,Tend,17,83.4,88.4,-5,1.2,
ABC_107,Ambient,control,Water Control,Water Control,DOC,Drawdown,17,11.5,88.4,-76.9,,
ABC_107,Ambient,control,Water Control,Water Control,DOC,% Drawdown,17,0.121052632,88.4,-88.27894737,,
ABC_054,Ambient,control,Water Control,Water Control,DOC,T0,18,76.8,88.4,-11.6,1.5,tf>t0
ABC_108,Ambient,control,Water Control,Water Control,DOC,Tend,18,94.2,88.4,5.8,1.5,tf>t0
Mean_Water_T0_DOC,Ambient,control,Water Control,Water Control,DOC,T0,,88.4,88.4,0,,
Mean_Hot_Water_T0_DOC,Hot,control,Hot Water Control,Hot Water Control,DOC,T0,,100.0333333,100.0333333,0,,
